VEC_X;VEC_Y;TILE_M;TILE_N;TILE_K;ms
4;3;32;32;12;23.6593
4;4;2;16;12;42.5047
4;4;2;32;12;33.0801
4;4;4;8;12;33.18
4;4;4;16;12;20.6881
4;4;4;32;12;21.1533
4;4;8;8;12;20.1359
4;4;8;16;12;17.0492
4;4;8;32;12;18.0337
4;4;16;16;12;15.808
4;4;16;32;12;18.1438
4;4;32;32;12;20.8391
2;2;2;16;16;132.789
2;2;2;32;16;72.0556
2;2;4;8;16;89.2015
2;2;4;16;16;43.7626
2;2;4;32;16;40.9011
2;2;8;8;16;41.4548
2;2;8;16;16;32.8053
2;2;8;32;16;33.3714
2;2;16;16;16;25.8892
2;2;16;32;16;25.997
2;2;32;32;16;38.3157
3;2;2;16;16;95.0408
3;2;2;32;16;68.204
3;2;4;8;16;69.6338
3;2;4;16;16;48.1446
3;2;4;32;16;46.7396
3;2;8;8;16;40.43
3;2;8;16;16;36.2943
3;2;8;32;16;36.6797
3;2;16;16;16;29.6653
3;2;16;32;16;31.9967
3;2;32;32;16;40.437
4;2;2;16;16;74.3136
4;2;2;32;16;64.2023
4;2;4;8;16;53.4432
4;2;4;16;16;34.2118
4;2;4;32;16;36.0358
4;2;8;8;16;28.71
4;2;8;16;16;26.321
4;2;8;32;16;26.9168
4;2;16;16;16;22.4632
4;2;16;32;16;21.3809
4;2;32;32;16;27.7704
3;3;2;16;16;66.0399
3;3;2;32;16;48.5917
3;3;4;8;16;46.7817
3;3;4;16;16;34.4225
3;3;4;32;16;34.3685
3;3;8;8;16;29.5013
3;3;8;16;16;26.2098
3;3;8;32;16;25.4773
3;3;16;16;16;23.2181
3;3;16;32;16;23.423
3;3;32;32;16;28.7765
4;3;2;16;16;51.1618
4;3;2;32;16;44.3728
4;3;4;8;16;37.0109
4;3;4;16;16;25.6871
4;3;4;32;16;25.3049
4;3;8;8;16;21.2949
4;3;8;16;16;22.5372
4;3;8;32;16;20.1546
4;3;16;16;16;17.2902
4;3;16;32;16;16.1346
4;3;32;32;16;21.345
4;4;2;16;16;39.8409
