1;2;3;4;size
3.21232;0.512992;2.8497;0.46768;5399625
24.5541;5.11946;24.6244;6.32982;19729962
57.4434;7.13315;57.4919;9.70909;35800370
169.715;23.0929;172.43;18.1388;69172864
577.984;86.0479;554.543;72.2996;146059202
954.223;140.509;942.492;131.408;209546100
1618.54;227.938;1515.69;214.942;304285632
2322.37;351.679;2257.45;321.138;394827907
3323.35;489.886;3275.08;440.252;487791360
4235.13;623.785;3868.73;558.008;574180720
4728.86;718.476;4722.76;685.642;630641520
